,ensembl_gene_id,prev_symbol,symbol
550,ENSG00000143149,ALDH7|ALDH4|ALDH9,ALDH9A1
551,ENSG00000161618,,ALDH16A1
552,ENSG00000059573,GSAS|PYCS|SPG9,ALDH18A1
553,ENSG00000149925,,ALDOA
554,ENSG00000136872,,ALDOB
555,ENSG00000109107,,ALDOC
556,ENSG00000033011,,ALG1
557,ENSG00000189366,,ALG1L
558,ENSG00000251287,,ALG1L2
559,ENSG00000119523,,ALG2
560,ENSG00000214160,,ALG3
561,ENSG00000120697,,ALG5
562,ENSG00000088035,,ALG6
563,ENSG00000159063,,ALG8
564,ENSG00000086848,DIBD1,ALG9
565,ENSG00000139133,,ALG10
566,ENSG00000175548,,ALG10B
567,ENSG00000253710,,ALG11
568,ENSG00000182858,,ALG12
569,ENSG00000101901,GLT28D1|CXorf45,ALG13
570,ENSG00000172339,,ALG14
571,ENSG00000171094,,ALK
572,ENSG00000196711,FAM150A,ALKAL1
573,ENSG00000189292,FAM150B,ALKAL2
574,ENSG00000100601,ALKBH,ALKBH1
575,ENSG00000189046,,ALKBH2
576,ENSG00000166199,,ALKBH3
577,ENSG00000160993,,ALKBH4
578,ENSG00000091542,OFOXD1,ALKBH5
579,ENSG00000239382,,ALKBH6
580,ENSG00000125652,SPATA11,ALKBH7
581,ENSG00000137760,,ALKBH8
582,ENSG00000151360,,ALLC
583,ENSG00000116127,,ALMS1
584,ENSG00000012779,,ALOX5
585,ENSG00000132965,,ALOX5AP
586,ENSG00000108839,,ALOX12
587,ENSG00000179477,,ALOX12B
588,ENSG00000161905,,ALOX15
589,ENSG00000179593,,ALOX15B
590,ENSG00000179148,,ALOXE3
591,ENSG00000163286,ALPPL2,ALPG
592,ENSG00000163295,,ALPI
593,ENSG00000073331,,ALPK1
594,ENSG00000198796,,ALPK2
595,ENSG00000136383,,ALPK3
596,ENSG00000162551,HOPS,ALPL
597,ENSG00000163283,,ALPP
598,ENSG00000003393,ALS2CR6,ALS2
599,ENSG00000178038,,ALS2CL
600,ENSG00000180318,CART1,ALX1
601,ENSG00000156150,FND,ALX3
602,ENSG00000052850,PFM2,ALX4
603,ENSG00000183684,THOC4,ALYREF
604,ENSG00000242110,,AMACR
605,ENSG00000178522,,AMBN
606,ENSG00000106927,ITI|ITIL,AMBP
607,ENSG00000110497,,AMBRA1
608,ENSG00000123505,,AMD1
609,ENSG00000139344,,AMDHD1
610,ENSG00000162066,,AMDHD2
611,ENSG00000125363,AMG|AIH1,AMELX
612,ENSG00000099721,AMGL,AMELY
